Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type
Glenmorangie 10yo,8.4,0.41,29,$$$,SingleMalt-like,GH,G,Scotland,Malt
Nikka Taketsuru NAS,8.4,0.47,11,$$$$,SingleMalt-like,GH,G,Japan,Malt
Stronachie 10yo,8.4,0.43,4,$$$,SingleMalt-like,GH,H,Scotland,Malt
Aultmore 12yo,8.39,0.38,19,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Mackmyra The Swedish Whisky (Brukswhisky),8.39,0.57,14,$$,SingleMalt-like,GH,H,Sweden,Malt
Bruichladdich Laddie Eight 8yo,8.38,0.49,7,$$$,SingleMalt-like,GH,G,Scotland,Malt
Wemyss Malts The Hive,8.38,0.22,14,$$$,SingleMalt-like,GH,G,Scotland,Malt
Strathmill 12yo,8.37,0.28,3,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Tomintoul 25yo,8.37,0.69,6,$$$$$+,SingleMalt-like,GH,G,Scotland,Malt
Hakushu Distiller's Reserve,8.35,0.17,5,$$$$,SingleMalt-like,GH,H,Japan,Malt
Hibiki Harmony,8.35,0.48,23,$$$$,SingleMalt-like,GH,G,Japan,Blend
Auchentoshan Valinch,8.34,0.64,15,$$$,SingleMalt-like,GH,H,Scotland,Malt
Hazelburn 8yo (Springbank),8.34,0.41,11,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Ichiro's Malt Mizunara Wood Reserve (MWR),8.34,0.52,15,$$$$$,SingleMalt-like,GH,H,Japan,Malt
Tomatin Cask Strength,8.34,0.48,10,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Hakushu NAS,8.33,0.36,5,$$$,SingleMalt-like,GH,H,Japan,Malt
Glenkinchie Distiller's Edition (all editions),8.32,0.28,15,$$$$,SingleMalt-like,GH,B,Scotland,Malt
Glenglassaugh Octaves Classic,8.31,0.31,5,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Mackmyra Special 02,8.3,0.76,3,$$$$$,SingleMalt-like,GH,H,Sweden,Malt
Mannochmore 12yo (F&F),8.3,0.14,5,$$$,SingleMalt-like,GH,G,Scotland,Malt
Amrut Indian Single Malt,8.29,0.86,18,$$$,SingleMalt-like,GH,G,India,Malt
Glen Grant 12yo,8.29,0.49,11,$$$,SingleMalt-like,GH,H,Scotland,Malt
Glen Scotia 14yo,8.29,0.16,5,$$$,SingleMalt-like,GH,G,Scotland,Malt
Tamdhu 10yo,8.29,0.6,18,$$$$,SingleMalt-like,GH,H,Scotland,Malt
BenRiach 20yo,8.27,0.69,12,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Penderyn Myth,8.27,0.38,7,$$$,SingleMalt-like,GH,G,Wales,Malt
Tomintoul 16yo,8.27,0.41,19,$$$,SingleMalt-like,GH,G,Scotland,Malt
Wolfburn (NAS),8.27,0.39,10,$$$,SingleMalt-like,GH,G,Scotland,Malt
Deveron 10yo,8.26,0.77,3,$$$,SingleMalt-like,GH,H,Scotland,Malt
Glengoyne 10yo,8.26,0.33,18,$$$,SingleMalt-like,GH,G,Scotland,Malt
Mackinlay's Shackleton Blended Malt,8.26,0.39,8,$$$,SingleMalt-like,GH,H,Scotland,Malt
Arran Malt Lochranza Reserve,8.25,0.21,6,$$$,SingleMalt-like,GH,G,Scotland,Malt
Glendalough 7yo Single Malt,8.25,0.31,8,$$$,SingleMalt-like,GH,G,Ireland,Malt
Glenfiddich 1963 Original Malt,8.25,0.44,8,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Hibiki Harmony Master's Select,8.25,0.67,7,$$$$$,SingleMalt-like,GH,G,Japan,Blend
High Coast (Box) Quercus I Robur,8.25,0.43,3,$$$$,SingleMalt-like,GH,G,Sweden,Malt
Highland Park Svein,8.25,0.44,12,$$$,SingleMalt-like,GH,G,Scotland,Malt
Tullibardine Vintage 1993,8.25,0.45,10,$$$,SingleMalt-like,GH,G,Scotland,Malt
Balblair 12yo,8.23,0.18,7,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Bladnoch Vintage 1992-2007 (Signatory),8.23,0.49,4,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Glen Breton Ice 12yo,8.23,0.26,3,$$$$,SingleMalt-like,GH,G,Canada,Malt
Glen Grant 10yo,8.23,0.5,10,$$,SingleMalt-like,GH,H,Scotland,Malt
St George's Chapter 6 (unpeated),8.23,0.46,10,$$$,SingleMalt-like,GH,G,England,Malt
White Oak Akashi 5yo,8.23,0.6,9,$$$$$,SingleMalt-like,GH,G,Japan,Malt
Bladnoch 1993-2009 (G&M),8.22,0.2,5,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Glen Breton Ice 10yo,8.22,0.59,8,$$$$,SingleMalt-like,GH,G,Canada,Malt
Teerenpeli 10yo,8.22,0.44,6,$$$$$,SingleMalt-like,GH,H,Finland,Malt
Glenkinchie 12yo,8.2,0.27,21,$$$,SingleMalt-like,GH,G,Scotland,Malt
Highland Park Harald,8.2,0.47,13,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Glenrothes Alba Reserve,8.19,0.54,10,$$$,SingleMalt-like,GH,G,Scotland,Malt
Shelter Point Classic Single Cask (KWM) Single Malt Whisky,8.18,0.45,3,$$$$,SingleMalt-like,GH,G,Canada,Malt
Glenlossie 10yo (F&F),8.17,0.33,9,$$$,SingleMalt-like,GH,G,Scotland,Malt
Stronachie 12yo,8.17,0.37,9,$$$,SingleMalt-like,GH,H,Scotland,Malt
Tyrconnell Single Malt Irish Whiskey,8.17,0.47,19,$$,SingleMalt-like,GH,H,Ireland,Malt
Auchentoshan Virgin Oak,8.16,0.58,7,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Bushmills 10yo Single Malt,8.16,0.48,24,$$$,SingleMalt-like,GH,G,Ireland,Malt
Macallan Gold,8.15,0.31,20,$$$,SingleMalt-like,GH,G,Scotland,Malt
The Quiet Man 8yo Single Malt,8.15,0.55,5,$$$,SingleMalt-like,GH,H,Ireland,Malt
Tomatin Legacy,8.15,0.42,12,$$,SingleMalt-like,GH,G,Scotland,Malt
Glenglassaugh Evolution,8.14,0.34,9,$$$,SingleMalt-like,GH,G,Scotland,Malt
Glenrothes Bourbon Cask Reserve,8.14,0.15,4,$$$,SingleMalt-like,GH,G,Scotland,Malt
Nikka Gold & Gold,8.14,0.31,8,$$$,SingleMalt-like,GH,G,Japan,Malt
Shelter Point Artisanal Single Malt Whisky,8.14,0.49,10,$$$,SingleMalt-like,GH,G,Canada,Malt
Deanston Virgin Oak,8.13,0.42,17,$$,SingleMalt-like,GH,H,Scotland,Malt
Cardhu Amber Rock,8.12,0.39,5,$$$,SingleMalt-like,GH,H,Scotland,Malt
Kilbeggan Irish Reserve Malt Whiskey,8.12,0.64,8,$$,SingleMalt-like,GH,G,Ireland,Malt
Knappogue Castle Vintage,8.11,0.83,5,$$$,SingleMalt-like,GH,H,Ireland,Malt
Mackmyra Midnattssol,8.1,0.64,6,$$$$,SingleMalt-like,GH,H,Sweden,Malt
Tormore 14yo,8.1,0.41,5,$$$,SingleMalt-like,GH,G,Scotland,Malt
Glenfiddich 12yo,8.09,0.25,32,$$$,SingleMalt-like,GH,G,Scotland,Malt
Glen Spey 12yo (F&F),8.06,0.44,5,$$$,SingleMalt-like,GH,H,Scotland,Malt
Speyburn 10yo,8.06,0.33,23,$$,SingleMalt-like,GH,H,Scotland,Malt
Cardhu 12yo,8.05,0.49,21,$$$,SingleMalt-like,GH,H,Scotland,Malt
Glenturret 10yo,8.05,0.49,13,$$$,SingleMalt-like,GH,G,Scotland,Malt
Pig's Nose 5yo Blended Malt,8.05,0.36,6,$$,SingleMalt-like,GH,H,Scotland,Malt
Tullibardine Aged Oak Edition,8.03,0.42,9,$$$,SingleMalt-like,GH,G,Scotland,Malt
Glen Moray 12yo,8.02,0.31,14,$$,SingleMalt-like,GH,G,Scotland,Malt
Tomatin Cu Bocan,8.01,0.39,15,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Glenrothes 10yo,7.99,0.35,5,$$$,SingleMalt-like,GH,G,Scotland,Malt
Bladnoch 16yo (Signatory),7.98,0.44,4,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Game of Thrones House Targaryen Cardhu Gold Reserve,7.98,0.27,11,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Glen Breton 10yo Rare,7.98,0.54,17,$$$$,SingleMalt-like,GH,G,Canada,Malt
Lohin McKinnon Single Malt,7.97,0.36,9,$$$,SingleMalt-like,GH,H,Canada,Malt
Auchentoshan Classic,7.94,0.46,9,$$,SingleMalt-like,GH,H,Scotland,Malt
Tormore 12yo,7.93,0.42,10,$$$,SingleMalt-like,GH,G,Scotland,Malt
White Oak Akashi Single Malt (NAS),7.93,0.46,7,$$$$,SingleMalt-like,GH,G,Japan,Malt
Nantou (Omar) Yushan Blended Malt,7.91,0.38,5,$$$,SingleMalt-like,GH,G,Taiwan,Malt
Glen Moray Classic,7.89,0.4,7,$,SingleMalt-like,GH,G,Scotland,Malt
Knockando 12yo (All Vintages),7.89,0.48,12,$$,SingleMalt-like,GH,G,Scotland,Malt
Glen Grant The Major's Reserve,7.87,0.59,11,$$,SingleMalt-like,GH,H,Scotland,Malt
Speyside 12yo,7.86,0.64,10,$$,SingleMalt-like,GH,H,Scotland,Malt
Tomintoul 10yo,7.86,0.51,17,$$$,SingleMalt-like,GH,G,Scotland,Malt
Mackmyra Mack,7.84,0.53,3,$$$,SingleMalt-like,GH,H,Sweden,Malt
BenRiach Heart of Speyside,7.81,0.69,8,$$$,SingleMalt-like,GH,H,Scotland,Malt
Kirin 18yo (Fuji Sanroku),7.81,2.64,5,$$$$$+,SingleMalt-like,GH,G,Japan,Malt
Macallan Gold Double Cask,7.81,0.51,3,$$$,SingleMalt-like,GH,G,Scotland,Malt
Auchentoshan American Oak,7.77,0.75,12,$$,SingleMalt-like,GH,H,Scotland,Malt
Auchentoshan 10yo,7.74,0.37,10,$$$,SingleMalt-like,GH,H,Scotland,Malt
Loch Lomond NAS,7.69,0.43,14,$,SingleMalt-like,GH,H,Scotland,Malt
Glen Breton 14yo,7.68,1.04,7,$$$$,SingleMalt-like,GH,G,Canada,Malt
Tamnavulin 12yo,7.68,0.79,4,$$,SingleMalt-like,GH,H,Scotland,Malt
Tullibardine Sovereign,7.53,2.09,10,$$$,SingleMalt-like,GH,G,Scotland,Malt
McClelland's Highland Single Malt,7.06,0.64,7,$$,SingleMalt-like,GH,G,Scotland,Malt
McClelland's Lowland Single Malt,6.9,0.56,4,$$,SingleMalt-like,GH,H,Scotland,Malt
Port Ellen 2nd release 24yo 59.35%,9.51,0.23,7,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Caol Ila 35yo,9.49,0.2,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 9th release 30yo,9.48,0.12,5,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 14th release 35yo,9.4,0.12,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 10th release 31yo,9.38,0.53,5,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 15th release 32yo,9.37,0.47,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 11th release 32yo,9.33,0.46,6,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 7th release 28yo,9.33,0.32,4,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Talisker 35yo,9.33,0.33,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Port Ellen (all OB releases),9.32,0.31,19,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Caol Ila 30yo,9.3,0.25,14,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 16th release 37yo,9.22,0.37,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 6th release 27yo,9.22,0.16,7,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 3rd release 24yo,9.21,0.22,9,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 4th release 25yo,9.2,0.13,5,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Talisker 30yo,9.2,0.34,14,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 17th release 37yo,9.18,0.7,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Ledaig 19yo 1998 Pedro Ximénez Finish,9.14,0.3,5,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Springbank 16yo Local Barley,9.11,0.22,14,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Ledaig 42yo,9.1,0.48,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Talisker 18yo,9.09,0.22,25,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Compass Box Flaming Heart 2018 6th Edition,9.08,0.24,7,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Compass Box Flaming Heart 2008 2nd Edition,9.06,0.27,4,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 12th release 32yo,9.06,0.51,10,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Compass Box Flaming Heart 2015 5th Edition - 15th Anniversary,9.05,0.32,22,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Springbank 11yo Local Barley,9.05,0.2,12,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Nikka Yoichi 15yo,8.99,0.24,19,$$$$$,SingleMalt-like,I,I,Japan,Malt
Two Brewers Release 07 Peated,8.99,0.28,7,$$$$,SingleMalt-like,I,I,Canada,Malt
Bruichladdich Port Charlotte 2010 MRC:01,8.98,0.2,12,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Compass Box Flaming Heart (all editions),8.98,0.29,30,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Highland Park Sigurd,8.98,0.34,8,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Oban 21yo,8.97,0.21,5,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte PC10 Tro Na Linntean,8.96,0.39,12,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Glen Garioch 1994,8.96,0.4,8,$$$$,SingleMalt-like,I,I,Scotland,Malt
Tomatin Cu Bocan 1989 Limited Edition,8.96,0.33,4,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Kilchoman Bourbon Single Cask,8.95,0.25,15,$$$$,SingleMalt-like,I,I,Scotland,Malt
Ledaig 13yo Amontillado Cask Finish,8.95,0.19,11,$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Ellen Douglas Laing McGibbon's Provenance John Milroy 23yo 1982-2005,8.95,0.13,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Springbank 18yo,8.95,0.22,25,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Glen Garioch 1991,8.94,0.22,3,$$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker 25yo,8.94,0.29,21,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte 2007 CC:01,8.93,0.28,17,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Compass Box Flaming Heart 2010 3rd Edition - 10th Anniversary,8.93,0.3,10,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte PC11 Eorna Na H-Alba,8.92,0.25,6,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Kilkerran 8yo Cask Strength,8.92,0.23,14,$$$$,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 8th release 29yo,8.92,0.48,8,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Talisker 57 North,8.92,0.26,22,$$$$,SingleMalt-like,I,I,Scotland,Malt
BenRiach 21yo Authenticus Peated,8.91,0.35,16,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Caol Ila 25yo,8.91,0.18,13,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Compass Box Flaming Heart 2012 4th Edition,8.91,0.31,18,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Kavalan Distillery Reserve Peaty Cask,8.9,0.38,7,$$$$$+,SingleMalt-like,I,I,Taiwan,Malt
Glen Garioch 1995,8.89,0.36,12,$$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker Distiller's Edition (all editions),8.89,0.23,29,$$$$,SingleMalt-like,I,I,Scotland,Malt
Compass Box The Lost Blend,8.88,0.25,17,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore Vault Edition Second Release,8.87,0.14,3,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte PC12 Oileanach Furachail,8.87,0.43,13,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker 8yo (Special Release 2018),8.87,0.32,8,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Wemyss Malts The Rockpool,8.87,0.28,3,$$$,SingleMalt-like,I,I,Scotland,Malt
Bladnoch 9yo Lightly Peated,8.86,0.64,4,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte 10yo Heavily Peated (Second Edition),8.85,0.36,12,$$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker 15yo (Special Release 2019),8.85,0.31,12,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte PC10 (Second Edition),8.84,0.19,7,$$$$,SingleMalt-like,I,I,Scotland,Malt
Spirit of Hven Seven Stars No. 5 Alioth,8.84,0.27,3,$$$$$,SingleMalt-like,I,I,Sweden,Malt
BenRiach 25yo Authenticus Peated,8.83,0.5,13,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore Mizunara Cask Finish,8.83,0.46,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Dun Bheagan Islay 2009,8.83,0.21,3,$$,SingleMalt-like,I,I,Scotland,Malt
Ledaig 19yo Marsala Finish,8.83,0.33,8,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker 10yo,8.82,0.22,31,$$$$,SingleMalt-like,I,I,Scotland,Malt
Glenlivet Nadurra Peated Cask Finish,8.81,0.25,4,$$$$,SingleMalt-like,I,I,Scotland,Malt
Two Brewers Release 19 Peated,8.81,0.43,5,$$$$,SingleMalt-like,I,I,Canada,Malt
Port Ellen Douglas Laing McGibbon's Provenance John Milroy 23yo (all editions),8.8,0.33,6,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte 2010 OLC:01 9yo,8.78,0.23,3,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Hakushu Single Malt Heavily Peated,8.78,0.32,12,$$$$$+,SingleMalt-like,I,I,Japan,Malt
Bowmore 10yo Tempest,8.77,0.24,21,$$$$,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Infinity Third Edition,8.77,0.28,5,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte 10yo Heavily Peated (First Edition),8.77,0.22,9,$$$$,SingleMalt-like,I,I,Scotland,Malt
Highland Park 12yo (reviews pre-2014),8.77,0.23,22,$$$,SingleMalt-like,I,I,Scotland,Malt
Oban 18yo,8.77,0.22,16,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Westland Peat Week,8.77,0.26,7,$$$$,SingleMalt-like,I,I,USA,Malt
Nikka Yoichi 12yo,8.76,0.2,9,$$$$$,SingleMalt-like,I,I,Japan,Malt
Two Brewers Peated (all releases),8.76,0.43,8,$$$$,SingleMalt-like,I,I,Canada,Malt
Caol Ila 18yo,8.75,0.5,21,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Game of Thrones House Greyjoy Talisker Select Reserve,8.75,0.38,10,$$$$,SingleMalt-like,I,I,Scotland,Malt
Springbank 12yo Green,8.75,0.31,8,$$$$,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte An Turas Mor,8.74,0.27,13,$$$$,SingleMalt-like,I,I,Scotland,Malt
Nikka Pure Malt Black,8.74,0.25,17,$$$,SingleMalt-like,I,I,Japan,Malt
Ben Nevis Celebrated Traditional (NAS),8.73,0.19,5,$$,SingleMalt-like,I,I,Scotland,Malt
Caol Ila 12yo,8.73,0.19,25,$$$$,SingleMalt-like,I,I,Scotland,Malt
GlenDronach Peated Port Wood,8.73,0.32,4,$$$,SingleMalt-like,I,I,Scotland,Malt
Highland Park 15yo Freya,8.72,0.39,15,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Port Ellen 2nd release 24yo 54.3%,8.72,0.73,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Springbank 10yo,8.72,0.27,28,$$$$,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Port Charlotte Scottish Barley Heavily Peated,8.7,0.26,23,$$$$,SingleMalt-like,I,I,Scotland,Malt
Kilchoman Sanaig,8.7,0.25,23,$$$$,SingleMalt-like,I,I,Scotland,Malt
Paul John Peated Select Cask,8.7,0.29,11,$$$$,SingleMalt-like,I,I,India,Malt
Spirit of Hven Tycho’s Star,8.7,0.29,6,$$$$,SingleMalt-like,I,I,Sweden,Malt
Glenglassaugh Torfa,8.69,0.31,7,$$$,SingleMalt-like,I,I,Scotland,Malt
Highland Park 17yo Ice,8.69,0.3,10,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Nikka Pure Malt White,8.69,0.35,13,$$$,SingleMalt-like,I,I,Japan,Malt
Compass Box Lady Luck,8.68,0.42,6,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Paul John Bold,8.68,0.27,6,$$$,SingleMalt-like,I,I,India,Malt
Big Peat (Douglas Laing),8.66,0.27,21,$$$$,SingleMalt-like,I,I,Scotland,Malt
Kilchoman Sauternes Cask Matured,8.66,0.15,10,$$$$,SingleMalt-like,I,I,Scotland,Malt
Nikka Miyagikyo 15yo,8.66,0.28,13,$$$$$,SingleMalt-like,I,I,Japan,Malt
Edradour Ballechin 10yo,8.65,0.54,8,$$$,SingleMalt-like,I,I,Scotland,Malt
Nikka Yoichi 10yo,8.64,0.28,20,$$$$,SingleMalt-like,I,I,Japan,Malt
BenRiach 10yo Curiositas,8.63,0.29,22,$$$,SingleMalt-like,I,I,Scotland,Malt
Highland Park 12yo (all reviews),8.63,0.21,33,$$$,SingleMalt-like,I,I,Scotland,Malt
Lohin McKinnon Peated,8.63,0.47,3,$$$,SingleMalt-like,I,I,Canada,Malt
Benromach 10yo,8.62,0.33,31,$$$,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Islay Barley (all vintages),8.62,0.2,20,$$$$,SingleMalt-like,I,I,Scotland,Malt
Longrow 7yo Gaja Barolo Finish,8.62,0.52,9,$$$$,SingleMalt-like,I,I,Scotland,Malt
Balvenie 14yo Peat Week,8.61,0.33,15,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Mackmyra Svensk Rök,8.61,0.31,5,$$$$,SingleMalt-like,I,I,Sweden,Malt
Talisker Dark Storm,8.61,0.2,13,$$$,SingleMalt-like,I,I,Scotland,Malt
Talisker Storm,8.6,0.27,24,$$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore 17yo White Sands,8.59,0.32,7,$$$$,SingleMalt-like,I,I,Scotland,Malt
Compass Box Eleuthera,8.59,0.39,16,$$$$,SingleMalt-like,I,I,Scotland,Malt
GlenDronach Peated,8.59,0.29,17,$$$,SingleMalt-like,I,I,Scotland,Malt
Highland Park 10yo Viking Scars,8.59,0.58,3,$$$,SingleMalt-like,I,I,Scotland,Malt
Matsui The Peated,8.59,0.5,3,$$$$,SingleMalt-like,I,I,Japan,Malt
Port Ellen Douglas Laing McGibbon's Provenance John Milroy 23yo 1978-2001,8.59,0.43,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Dun Bheagan Islay (all vintage editions),8.58,0.33,7,$$,SingleMalt-like,I,I,Scotland,Malt
Game of Thrones The Night’s Watch Oban Bay Reserve,8.58,0.31,11,$$$$,SingleMalt-like,I,I,Scotland,Malt
Mars Kogamatake The Revival 2011,8.58,0.46,5,$$$$$,SingleMalt-like,I,I,Japan,Malt
Westland Peated,8.58,0.44,14,$$$$,SingleMalt-like,I,I,USA,Malt
Arran Malt Machrie Moor Cask Strength,8.57,0.65,7,$$$$,SingleMalt-like,I,I,Scotland,Malt
Nikka Yoichi NAS,8.57,0.3,15,$$$$,SingleMalt-like,I,I,Japan,Malt
Bowmore 15yo Mariner,8.56,0.48,8,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore 18yo,8.56,0.43,25,$$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore Vault Edition First Release,8.56,0.32,15,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Kilchoman Coull Point,8.56,0.35,10,$$$$$,SingleMalt-like,I,I,Scotland,Malt
"Elements of Islay ""Peat""",8.55,0.83,6,$$$,SingleMalt-like,I,I,Scotland,Malt
Paul John Edited,8.55,0.41,10,$$$,SingleMalt-like,I,I,India,Malt
BenRiach Peated Quarter Casks,8.53,0.38,4,$$$$,SingleMalt-like,I,I,Scotland,Malt
Nikka Miyagikyo 12yo,8.52,0.3,8,$$$$,SingleMalt-like,I,I,Japan,Malt
Highland Park 10yo,8.51,0.26,15,$$$,SingleMalt-like,I,I,Scotland,Malt
Highland Park 12yo Viking Honour (post-2017),8.51,0.32,9,$$$,SingleMalt-like,I,I,Scotland,Malt
Nikka Miyagikyo 10yo,8.51,0.35,10,$$$$,SingleMalt-like,I,I,Japan,Malt
Spirit of Hven Seven Stars No. 2 Merak,8.51,0.35,4,$$$$$,SingleMalt-like,I,I,Sweden,Malt
Two Brewers Release 03 Peated,8.51,0.49,8,$$$$,SingleMalt-like,I,I,Canada,Malt
High Coast (Box) Early Days (batches 01/02),8.5,0.3,3,$$$$,SingleMalt-like,I,I,Sweden,Malt
Ardmore Traditional Cask,8.49,0.23,26,$$$,SingleMalt-like,I,I,Scotland,Malt
Ledaig 10yo,8.49,0.39,30,$$$,SingleMalt-like,I,I,Scotland,Malt
Oban 14yo,8.48,0.38,30,$$$$,SingleMalt-like,I,I,Scotland,Malt
Glenfiddich Vintage Cask,8.47,0.28,6,$$$$,SingleMalt-like,I,I,Scotland,Malt
High Coast (Box) Dalvve,8.46,0.25,10,$$$$,SingleMalt-like,I,I,Sweden,Malt
Highland Park 12yo (reviews 2014-2017),8.46,0.41,18,$$$,SingleMalt-like,I,I,Scotland,Malt
Spirit of Hven Seven Stars No. 3 Phecda,8.46,0.39,3,$$$$$,SingleMalt-like,I,I,Sweden,Malt
Dun Bheagan Islay 1999,8.42,0.24,3,$$,SingleMalt-like,I,I,Scotland,Malt
Glen Garioch 1997,8.42,0.24,7,$$$$,SingleMalt-like,I,I,Scotland,Malt
Teerenpeli Suomi 100 Juhlaviski,8.42,0.71,4,$$$$,SingleMalt-like,I,I,Finland,Malt
Oban Little Bay,8.41,0.35,17,$$$$,SingleMalt-like,I,I,Scotland,Malt
Glenfiddich Fire & Cane Experimental Series No. 4,8.4,0.45,15,$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore 12yo,8.38,0.3,23,$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore 17yo,8.38,0.66,8,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Wemyss Malts Peat Chimney,8.37,0.4,16,$$$,SingleMalt-like,I,I,Scotland,Malt
Fettercairn Fior,8.36,0.32,7,$$$,SingleMalt-like,I,I,Scotland,Malt
Glen Moray Classic Peated,8.36,0.29,6,$$,SingleMalt-like,I,I,Scotland,Malt
Glen Scotia 12yo,8.35,0.39,10,$$$$,SingleMalt-like,I,I,Scotland,Malt
Glenglassaugh Octaves Peated,8.35,0.58,3,$$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore No.1,8.33,0.42,6,$$$,SingleMalt-like,I,I,Scotland,Malt
